asset,plan,invested,ending_value,gain,return_on_invested
安聯台灣智慧基金,lump_sum,1000000.0,21538545.653362434,20538545.653362434,20.538545653362434
安聯台灣智慧基金,monthly,2420000.0,20103185.707776226,17683185.707776226,7.307101532138937
0050 benchmark,lump_sum,1000000.0,8872545.829189233,7872545.8291892335,7.872545829189233
0050 benchmark,monthly,2420000.0,10444391.134270012,8024391.134270012,3.315864105070253
