date,fund_growth,benchmark_growth,fund_minus_benchmark
2016-05-16,100.0,100.0,0.0
2016-05-17,100.0,100.75505290541511,-0.7550529054151127
2016-05-18,99.07053034445052,100.58728490519663,-1.516754560746108
2016-05-19,99.67195188627666,100.0839192380845,-0.4119673518078457
2016-05-23,101.80426462547841,104.02685486094654,-2.2225902354681324
2016-05-24,102.35101148168398,102.9362747645883,-0.5852632829043216
2016-05-25,102.78840896664845,104.02685486094654,-1.2384458942980956
2016-05-26,103.22580645161291,104.27855090874334,-1.05274445713043
2016-05-30,105.30344450519411,105.95638067232295,-0.6529361671288427
2016-05-31,106.01421541826134,105.95638067232295,0.05783474593839344
2016-06-01,104.92072170585021,106.87921919694416,-1.9584974910939508
2016-06-02,104.92072170585021,106.87921919694416,-1.9584974910939508
2016-06-03,104.92072170585021,107.1308888162595,-2.2101671104092873
2016-06-06,105.63149261891745,107.46647767365936,-1.8349850547419067
2016-06-07,105.95954073264079,108.89264662741743,-2.933105894776645
2016-06-13,104.92072170585021,106.9631031970534,-2.0423814912031872
2016-06-14,105.24876981957354,107.63424567387783,-2.385475854304289
2016-06-15,104.53799890650629,107.80204891207156,-3.2640500055652666
2016-06-16,105.30344450519411,106.29196952972279,-0.9885250245286841
2016-06-20,106.01421541826134,108.2214953410992,-2.2072799228378557
2016-06-21,106.12356478950247,108.64095938911446,-2.5173945996119897
2016-06-22,105.0300710770913,108.97650419904522,-3.946433121953916
2016-06-23,101.96828868234007,108.72486981770514,-6.756581135365067
2016-06-27,103.66320393657737,106.9631031970534,-3.2998992604760247
2016-06-28,104.70202296336795,107.3825848640563,-2.680561900688346
2016-06-29,106.3422635319847,108.5570577700176,-2.214794238032894
2016-06-30,106.23291416074358,109.8154499140634,-3.582535753319817
2016-07-04,106.39693821760525,111.24164529630292,-4.844707078697667
2016-07-05,104.97539639147075,110.9060652483969,-5.930668856926147
2016-07-06,105.30344450519411,108.89264662741743,-3.589202122223327
2016-07-11,106.7249863313286,112.41613582125184,-5.691149489923248
2016-07-12,107.27173318753418,113.42284072699466,-6.151107539460483
2016-07-13,107.27173318753418,113.50674234609154,-6.235009158557361
2016-07-14,108.36522689994533,113.5906439651884,-5.225417065243079
2016-07-18,108.58392564242756,116.02353544367695,-7.439609801249389
2016-07-19,108.36522689994533,116.19128582490778,-7.826058924962453
2016-07-20,109.51339529797704,116.10741063429236,-6.594015336315323
2016-07-21,109.84144341170038,116.69466030151374,-6.853216889813353
2016-07-25,110.22416621104429,115.77185701486778,-5.547690803823485
