index,date,strategy_equity,benchmark_equity
0,,100.0,100.0
1,2016-06-01,100.44802327622817,100.87094393900658
2,2016-06-02,99.35984723063858,100.87094393900658
3,2016-06-03,98.81152655881142,101.10844084714022
4,2016-06-06,99.54482384804845,101.42517267683917
5,2016-06-07,100.76277908309274,102.77118526047546
6,2016-06-08,101.2460317452585,103.32539736978306
7,2016-06-13,99.37692659233443,100.95010403220945
8,2016-06-14,99.61722158245136,101.5835344345574
9,2016-06-15,99.82279370633373,101.74187956375063
10,2016-06-16,98.67326235440315,100.31669857264897
11,2016-06-17,99.67349182376319,101.42517267683915
12,2016-06-20,101.24981179329,102.137746543865
13,2016-06-21,101.556169935219,102.53363015250436
14,2016-06-22,101.52468022425892,102.85032872515335
15,2016-06-23,100.86388346839878,102.61283181701971
16,2016-06-24,98.55219728945806,99.92080664974713
17,2016-06-27,99.34944153590047,100.95010403220944
18,2016-06-28,100.50872427796085,101.34600426937378
19,2016-06-29,101.06087848386326,102.45447005930147
20,2016-06-30,102.19600909756441,103.64212088521953
21,2016-07-01,102.98157911724685,104.90895674712795
22,2016-07-04,103.62659916728809,104.98814178311832
23,2016-07-05,103.4817746603742,104.67141826768186
24,2016-07-06,101.66274006402645,102.77118526047548
25,2016-07-07,102.23765907567909,104.03800449385889
26,2016-07-08,102.23765907567909,104.03800449385889
27,2016-07-11,104.23143384683387,106.09659925878353
28,2016-07-12,105.23984870060285,107.04671160525548
29,2016-07-13,106.41958904070063,107.12587169845837
30,2016-07-14,106.49852246313104,107.20506504871123
31,2016-07-15,107.61469549824399,108.47187596783216
32,2016-07-18,108.93826922159245,109.50117335029448
33,2016-07-19,109.3721744369452,109.6595434222752
34,2016-07-20,108.77323622972274,109.58035007202236
35,2016-07-21,109.82135988487003,110.13459543837995
36,2016-07-22,109.44432912569592,109.73867857269062
37,2016-07-25,109.22526063589217,109.26365149937338
38,2016-07-26,110.25374797067772,109.89704864467136
39,2016-07-27,110.21718490768119,110.3720923465136
40,2016-07-28,110.39678328665113,110.69273187958461
41,2016-07-29,109.52130678991685,109.89118708961327
42,2016-08-01,110.59376528479714,111.09349596030778
43,2016-08-02,110.35547224988683,111.09349596030778
44,2016-08-03,110.03120498544462,110.2118099941593
45,2016-08-04,110.63978974796703,110.45227509400318
46,2016-08-05,111.52149633452638,111.57441784573307
47,2016-08-08,111.66182615338133,112.29579651673977
48,2016-08-09,111.1803480264216,112.85690114965469
49,2016-08-10,111.94308363698053,113.17750742567573
50,2016-08-11,111.77463135958641,112.13551416438548
51,2016-08-12,112.04117618615854,112.53626993084617
52,2016-08-15,112.4827814420813,112.77674334495258
53,2016-08-16,112.38640722322185,112.13551416438551
54,2016-08-17,112.35466682814106,112.2957965167398
55,2016-08-18,112.39604821054465,112.05535635968337
56,2016-08-19,111.56776080822299,110.9331969794285
57,2016-08-22,111.32844455458269,110.13166050371966
58,2016-08-23,112.70038086979393,111.25380325544954
59,2016-08-24,112.29428548767154,110.9331969794285
60,2016-08-25,112.99938855400262,112.21567196908765
61,2016-08-26,113.53528226291513,112.37597094996693
62,2016-08-29,113.88708973977073,112.29579651673981
63,2016-08-30,114.29723720955211,112.21567196908765
64,2016-08-31,113.51451489127221,111.25380325544955
65,2016-09-01,112.71500329962943,110.69273187958461
66,2016-09-02,112.4723507780536,110.85304748898888
67,2016-09-05,113.79652633843519,112.69657722598798
68,2016-09-06,114.74071515567289,113.57826319213648
69,2016-09-07,115.5758116512417,115.18136108634165
70,2016-09-08,116.5012732857527,114.78058869135599
71,2016-09-09,115.13852541383291,112.85690114965476
72,2016-09-12,112.17890141660311,110.37208403225114
73,2016-09-13,111.95347033132079,110.37208403225114
74,2016-09-14,110.97404134671353,109.73087979447155
75,2016-09-19,114.14634659386216,113.81873660624288
76,2016-09-20,114.75665059735572,113.65842931110112
77,2016-09-21,115.56431609792881,114.21950900122854
78,2016-09-22,115.18000768216393,114.45998241533495
79,2016-09-23,115.44980867539043,115.2615105767813
80,2016-09-26,115.19087146009186,113.8187366062429
81,2016-09-27,115.19087146009186,113.8187366062429
82,2016-09-28,115.19087146009186,113.8187366062429
83,2016-09-29,116.07939690807588,115.26151057678132
84,2016-09-30,115.37673377622555,113.73857048727828
85,2016-10-03,116.04174106527195,114.54010696298714
86,2016-10-04,117.07017999297001,115.02104547693743
87,2016-10-05,116.60083858529984,114.62028139621425
88,2016-10-06,116.34226679193515,114.9408959864978
89,2016-10-07,115.36745041558032,114.86075481032066
90,2016-10-11,113.49210295348166,114.54010696298714
91,2016-10-12,113.43157550593179,115.82258195264627
92,2016-10-13,113.23289835685694,114.9408959864978
93,2016-10-14,111.96248340789433,114.54010696298714
94,2016-10-17,112.24975351678573,114.54010696298714
95,2016-10-18,112.77661493905055,115.34166006722097
96,2016-10-19,113.5431835902492,115.98288924778805
97,2016-10-20,113.74563540393619,116.46384439026332
98,2016-10-21,114.15342945358717,116.3836699570362
99,2016-10-24,114.63691185122006,116.54398556644047
100,2016-10-25,114.99142253104793,117.66612000390785
101,2016-10-26,115.05073292235738,117.02491576612826
102,2016-10-27,114.93529896913692,116.3836699570362
103,2016-10-28,114.43479981088024,116.3836699570362
104,2016-10-31,113.96815161836628,116.3836699570362
105,2016-11-01,113.98670284439129,116.3836699570362
106,2016-11-02,112.01489410763122,115.02104547693743
107,2016-11-03,110.66533933250147,114.13935119652646
108,2016-11-04,110.57026064638761,113.81873660624292
109,2016-11-07,111.94351167969312,115.4218095576606
110,2016-11-08,112.27306312931006,115.98288924778802
111,2016-11-09,107.78096973992518,112.21567196908771
112,2016-11-10,111.12554878411764,115.42180955766058
113,2016-11-11,109.12538460689237,112.29579651673986
114,2016-11-14,108.57928295124067,112.37597094996698
115,2016-11-15,108.60838367069528,112.05535635968346
116,2016-11-16,108.7763901729748,112.21567196908771
117,2016-11-17,109.04307921278476,112.53626993084626
118,2016-11-18,109.97391222746175,112.85690114965479
119,2016-11-21,110.7348777507866,113.01720013053408
120,2016-11-22,112.36487905924439,114.54010696298714
121,2016-11-23,113.2456232922643,115.10121991016455
122,2016-11-24,112.64666119693915,114.45998241533498
123,2016-11-25,113.1210374938653,114.37980798210785
124,2016-11-28,113.56060891726982,115.02104547693742
125,2016-11-29,114.07463727938371,114.86075481032064
126,2016-11-30,113.91716642379986,114.9408959864978
127,2016-12-01,114.22389514908323,115.42180955766062
128,2016-12-02,113.36780909844106,114.13935119652648
129,2016-12-05,113.06708750372422,113.9790522156472
130,2016-12-06,113.61109105306751,115.42180955766062
131,2016-12-07,114.05799369390124,115.42180955766062
132,2016-12-08,115.66149031147957,116.86460847098651
133,2016-12-09,115.48385811205523,117.26536423744719
134,2016-12-12,114.75825569411666,116.78447560907186
135,2016-12-13,114.76010216475306,116.94474133290117
136,2016-12-14,114.9233591562872,117.18520643274508
137,2016-12-15,115.38792477077786,117.02491576612829
138,2016-12-16,115.2275302956406,115.9027730143984
139,2016-12-19,114.25588224081646,115.18136108634172
140,2016-12-20,114.30040700855524,115.02104547693746
141,2016-12-21,114.08620290463523,114.94089598649782
142,2016-12-22,113.36784410767612,113.49813033022191
143,2016-12-23,113.13956330610958,113.09735793523623
144,2016-12-26,113.3067379761995,113.49813033022188
145,2016-12-27,113.68492909177964,113.41796421125726
146,2016-12-28,114.63615726299355,114.78058869135603
147,2016-12-29,114.4854958604742,114.2195090012286
148,2016-12-30,115.46034448820899,115.10121991016456
149,2017-01-03,115.9439165497084,115.26151057678135
150,2017-01-04,116.76405637325645,115.18136108634171
151,2017-01-05,117.93361413517601,116.22337097615694
152,2017-01-06,118.49710143426877,116.46384439026333
153,2017-01-09,118.17601391970776,116.14320485719232
154,2017-01-10,118.94464704425108,116.06305536675268
155,2017-01-11,119.91426227657367,116.06305536675268
156,2017-01-12,120.619601941655,117.26536423744719
157,2017-01-13,120.52649147219267,116.38366995703622
158,2017-01-16,119.60583268847621,115.42180955766061
159,2017-01-17,120.37512989518129,115.90277301439838
160,2017-01-18,120.20343536929789,115.66225802897952
161,2017-01-19,119.65320788595756,115.34166006722097
162,2017-01-20,119.48274613714433,115.66225802897954
163,2017-01-23,121.02826742879628,116.62415999966761
164,2017-01-24,120.83797841644146,117.50584596581608
165,2017-02-02,121.07211842398961,116.86460847098651
166,2017-02-03,121.90700385854582,116.78447560907186
167,2017-02-06,122.85807978502271,117.42569647537645
168,2017-02-07,123.03307406842853,117.50584596581609
