rebalance_date,rank,symbol,name,score,residual_z,momentum,volatility
2016-06-01,1,1102.TW,亞泥,2.460539681891896,-2.6048455894425984,-0.30939282656433176,0.240122788354574
2016-06-01,2,3661.TW,世芯-KY,1.6649114334201023,-1.8779608887750967,-0.3813200688331416,0.5305828750892996
2016-06-01,3,6409.TW,旭隼,1.646756431315558,-1.6188625877965108,0.246703474498708,0.38968248370333797
2016-06-01,4,2002.TW,中鋼,1.6161602341669707,-1.7134297428305745,-0.1712048487709772,0.24898541062507845
2016-06-01,5,6415.TW,矽力*-KY,1.1750907055356101,-1.1633665262297244,0.23073282271125994,0.46021539095370273
2016-06-01,6,1101.TW,台泥,1.1566509594307068,-1.2798344560140156,-0.231285592029986,0.28155692915209135
2016-06-01,7,5871.TW,中租-KY,0.7493840219855499,-0.9020008371273316,-0.30736170284527853,0.30026812763956146
2016-06-01,8,3529.TWO,力旺,0.7447657283680671,-0.8535051862996744,-0.11577209851859338,0.45479482300066487
2016-06-01,9,2412.TW,中華電,0.687037022337154,-0.6408839721110893,0.17844196082418806,0.10867757374934058
2016-06-01,10,2609.TW,陽明,0.6021581340546611,-0.7861231328025451,-0.3742972249381713,0.3530731334634939
2016-06-01,11,2377.TW,微星,0.4519810525901156,-0.27429178824585093,0.6757719677805656,0.39220616252622176
2016-06-01,12,3665.TW,貿聯-KY,0.3519493201105965,-0.2776169728577678,0.4357303719197423,0.5211552194605411
2016-06-01,13,9910.TW,豐泰,0.34801341974322586,-0.4695059124684727,-0.1506894391900382,0.458341260058223
2016-06-01,14,8046.TW,南電,0.2107266485103945,-0.4291455933261454,-0.43039055436884865,0.45188167191102585
2016-06-01,15,1301.TW,台塑,0.19496530024263573,-0.21422020099578556,0.04589180283331418,0.23544687829873198
2016-06-01,16,1303.TW,南亞,0.1686225428484405,-0.2502281756256632,-0.12407080092788914,0.25453901634974335
2016-06-01,17,3324.TWO,雙鴻,0.1443737357735331,0.6013960083491231,2.3884416014764054,0.6012321092939046
2016-06-01,18,2615.TW,萬海,0.12154789610073648,-0.3262635370119842,-0.3932876461316642,0.4470997651011015
2016-06-01,19,1590.TW,亞德客-KY,0.11396243824142605,-0.19388537978907303,-0.015438219843736611,0.49679709734892774
2016-06-01,20,1476.TW,儒鴻,0.1065729063134831,-0.24025874482055276,-0.17557197382569845,0.4815709844538348
2016-06-01,21,2207.TW,和泰車,0.09888709009881787,-0.2775076795162269,-0.3557738360485675,0.36066497866940284
2016-06-01,22,2881.TW,富邦金,0.08653140537464438,-0.2531080594259974,-0.35613582969631385,0.2795274243842879
2016-06-01,23,2603.TW,長榮,0.06794657028691374,-0.24031787921714182,-0.35251313631702696,0.3266114081284577
2016-06-01,24,3034.TW,聯詠,0.032037489395162405,-0.1875214583731258,-0.2723834702259247,0.40099836265926514
2016-06-01,25,3706.TW,神達,-0.03947676423062909,-0.07730040971266594,-0.15778001713225887,0.41036111964669625
2016-06-01,26,2344.TW,華邦電,-0.05022745286565652,-0.052144266469132686,-0.12244910735366332,0.3967635450733803
2016-06-01,27,1504.TW,東元,-0.06022851008059407,0.007087167487958761,-0.02536648918150164,0.29508714252739826
2016-06-01,28,4904.TW,遠傳,-0.13437337023440077,0.14445998723510028,0.09897349841179404,0.16369404962285589
2016-06-01,29,4938.TW,和碩,-0.15774367050635119,0.02992565556204262,-0.20524677423149063,0.3732109597552457
2016-06-01,30,1326.TW,台化,-0.1583391590708281,0.14175865284609812,0.0657281696135994,0.2639024372632652
