asset,plan,invested,ending_value,gain,return_on_invested
30-stock strategy,lump_sum,1000000.0,5775000.779489896,4775000.779489896,4.775000779489896
0050 benchmark,lump_sum,1000000.0,6965569.226312299,5965569.226312299,5.965569226312299
30-stock strategy,monthly,2380000.0,6204356.261564428,3824356.261564428,1.6068723788085832
0050 benchmark,monthly,2380000.0,8520979.673823096,6140979.673823096,2.580243560429872
