portfolio,weights,invested,ending_value,gain,return_on_invested,cagr,volatility,sharpe,max_drawdown
Grid_SP000_TW000_AZ100,"sp500 0%, 0050 0%, allianz 100%",1000000.0,21538545.653362434,20538545.653362434,20.538545653362434,0.35972009272393257,0.25030257211654844,1.3952165839963404,-0.4019890601690693
Grid_SP000_TW005_AZ095,"sp500 0%, 0050 5%, allianz 95%",1000000.0,20952718.697543446,19952718.697543446,19.952718697543446,0.35597214217140927,0.2739182074969875,1.6114905705187175,-0.3966191477084915
Grid_SP000_TW010_AZ090,"sp500 0%, 0050 10%, allianz 90%",1000000.0,20346978.00785539,19346978.00785539,19.34697800785539,0.35199628590239573,0.2636774359544098,1.64881539829854,-0.391319594594539
Grid_SP005_TW000_AZ095,"sp500 5%, 0050 0%, allianz 95%",1000000.0,20066559.791805863,19066559.791805863,19.066559791805865,0.3501195352584072,0.2724705354292862,1.5982919372891462,-0.38738826666846526
Grid_SP000_TW015_AZ085,"sp500 0%, 0050 15%, allianz 85%",1000000.0,19723988.47784816,18723988.47784816,18.72398847784816,0.3477945180869022,0.25394505406653495,1.6857750046357238,-0.3860930418922408
Grid_SP005_TW005_AZ090,"sp500 5%, 0050 5%, allianz 90%",1000000.0,19492968.45924739,18492968.45924739,18.492968459247393,0.3462059906103836,0.2619926169718882,1.6367722420557334,-0.3819940013607479
Grid_SP000_TW020_AZ080,"sp500 0%, 0050 20%, allianz 80%",1000000.0,19086425.19461331,18086425.19461331,18.086425194613312,0.34336893860358053,0.24478170919914163,1.7216688051806164,-0.3809421118192998
Grid_SP005_TW010_AZ085,"sp500 5%, 0050 10%, allianz 85%",1000000.0,18902463.896622896,17902463.896622896,17.902463896622898,0.3420672580045949,0.25200803347701434,1.6751728919755762,-0.3766735693824672
Grid_SP010_TW000_AZ090,"sp500 10%, 0050 0%, allianz 90%",1000000.0,18661968.81840714,17661968.81840714,17.66196881840714,0.340348251004736,0.26057796205399275,1.6220110219498016,-0.3725673610376571
Grid_SP000_TW025_AZ075,"sp500 0%, 0050 25%, allianz 75%",1000000.0,18436954.796195544,17436954.796195544,17.436954796195543,0.3387217513750138,0.23625362272838316,1.755621082663924,-0.3758694056450893
Grid_SP005_TW015_AZ080,"sp500 5%, 0050 15%, allianz 80%",1000000.0,18297593.64161577,17297593.64161577,17.29759364161577,0.33770540701349194,0.2425777101150109,1.712819406207671,-0.37142963670043105
Grid_SP010_TW005_AZ085,"sp500 10%, 0050 5%, allianz 85%",1000000.0,18102686.401618324,17102686.401618324,17.102686401618325,0.33627222454481887,0.250356508084889,1.6616109278269018,-0.36715177512899966
