index,strategy_equity,benchmark_equity
0,100.0,100.0
1,98.81370335043485,98.9879620098305
2,99.30356132133248,98.92469511170557
3,100.35809472374682,99.1777269534623
4,99.24306038193181,99.1777269534623
5,97.7242765077035,97.34343975058374
6,97.70754320712209,97.84943193261127
7,97.8842374917949,97.59645967542615
8,97.74487687889768,97.53319277730122
9,98.03193837807159,97.09040195036985
10,99.19493113210423,97.91270478919334
11,100.54950349765446,99.24097001775856
12,101.36225490544761,99.36749189709407
13,101.2315344384512,98.7349659188167
14,100.13191212283935,99.05124082486971
15,100.2527953209088,98.29222275954261
16,102.01001978815341,99.99999999999997
17,102.77872612329057,100.44273720081691
18,103.20994946443106,100.82226708808051
19,102.76476385502555,99.99999999999997
20,102.11030745160862,99.81022909791102
21,103.61934471405705,99.55723896535441
22,103.95016523691439,99.81022909791102
23,105.7190355979063,102.15051444127427
24,106.09433032332518,102.27703632060978
25,105.87005678326769,102.27703632060978
26,105.95225926773932,102.71977352142672
27,105.17720156596617,102.15051444127427
28,105.11679338910508,101.64453417616106
29,106.62341843239342,103.0992795748617
30,106.47426424451898,102.34027938490608
31,108.37269890230942,104.55406072430529
32,108.40962466630626,104.30105271637721
33,107.030541050155,103.09927957486171
34,107.86208487339306,103.73180555313908
35,107.75898526745216,103.60527175688924
36,107.58821430931476,103.22580145419722
37,106.56756684753685,103.0992795748617
38,107.22105854805254,103.98480164415284
39,107.12854434606342,104.80704489840473
40,106.52325010203788,104.68057068672648
41,107.41225241052366,105.24981784996463
42,108.09650600171832,105.43958279359644
43,106.83204678499979,104.7438137510228
44,106.2324442222123,104.6173037886016
45,106.14232438555598,105.89312863570163
46,106.9292741351197,106.40344665762731
47,106.95868488486154,106.65859971013299
48,107.24054474664327,106.59482038469231
49,107.74210237514431,106.91380043029596
50,107.60891158714134,106.2120729305623
51,107.56973576238188,106.46723789998232
52,107.18473969748528,106.14830552203595
53,107.31244364147682,105.63797558319595
54,106.46704648438714,105.00007507656025
55,104.83988007312585,103.27769961606089
56,102.90640462076533,102.25702782146654
57,102.72224965538697,102.19324849602586
58,102.78755978228457,101.68294239101448
59,103.44981669426784,102.89494024501656
60,103.4393201064202,102.83116091957588
61,102.98017997633025,101.68294239101449
62,103.76421641133469,102.4484253823602
63,102.94972028473732,101.30018301997018
64,103.8125089830374,102.51221662471521
65,104.06195676401748,103.08632588899589
66,104.42158693306128,103.3414908584159
67,104.09979196139885,103.46909717695455
68,103.84571319947563,103.21393220753454
69,104.02678455120271,103.3414908584159
70,102.72629784747235,101.61912731483086
71,103.13145086990698,101.87428036733655
72,103.25486259028303,102.57601978398453
73,103.0985703304139,102.76738159413522
74,104.78744360815116,104.4259181446223
75,104.3949247025589,104.48973322080595
76,104.03193338146855,103.5966439109216
77,104.37470485732123,104.80868943258096
78,105.04966000402602,105.89312863570166
79,105.43729663873793,106.53104105925166
80,106.25069739132293,106.40344665762734
81,106.27931775755451,106.46723789998234
82,106.0860552696546,107.04137099809167
83,106.54450488263541,107.67928342164168
84,106.33191599505268,107.48789777766237
85,106.83174280539114,108.3809870875467
86,106.8085213304864,107.7430746639967
87,106.56796049839585,108.06200704194306
88,106.70735274295447,107.80690165709466
89,106.02453519577926,107.9982396334167
90,104.22049995695397,107.29652405059737
91,103.98642904028303,107.55171285384601
92,103.59340669422674,107.93443647414739
93,104.15067784870834,109.65680001773244
94,103.70571943468772,109.27407639743107
95,102.74393400336339,108.18962527739605
96,102.7047512765473,108.63615205696675
97,103.10482357683796,109.01888759418244
98,103.2707702842173,110.35849176672316
99,101.89759672491766,109.46543820758178
100,103.28769797662017,111.69811977309253
101,103.39518608331427,111.88948158324322
102,103.6626632879091,112.39981152208324
103,103.95322358088025,112.46361468135255
104,104.2882580774944,112.20843779501823
105,105.11949538043643,112.08087914413686
106,105.8969662226739,113.1653302641719
107,105.92812933386418,112.84635021856825
108,106.60307171343844,113.29288891505325
109,106.52208981475246,113.29288891505325
110,106.85769407271584,113.80323077080759
111,105.8440666266485,114.12217506566826
112,106.39133441627355,114.63251692142258
113,105.61819885907764,114.9514850501119
114,106.05688845431071,114.9514850501119
115,107.08119079263744,117.63066956136468
116,108.71486672787152,118.52377078816335
117,109.35392038816423,119.09788005244404
118,108.43989943442158,118.45997954580835
119,108.90403476419199,118.07722017476402
120,108.11562435939602,116.2910773057383
121,108.51569930869258,117.37552842577333
122,107.62875681436095,116.67382475986831
123,108.1775626170836,116.61000968368468
124,108.21227296226581,117.75826396298903
125,109.08606189535656,118.52377078816338
126,109.5490938241966,119.41683626421909
127,109.88866590642077,118.97029756773408
128,108.59910518254092,118.01342893240906
129,108.75402228332412,118.07722017476407
130,109.27420930720086,118.14101141711906
131,109.41079661115246,118.45997954580838
132,109.66518935490915,118.90649440846477
133,109.07434194898029,118.5875620305184
134,107.95248456380666,116.73761600222335
135,108.4032065510039,117.43930775121406
136,108.68948301086475,117.43930775121406
137,109.13438025818613,116.99275713781472
138,111.39120956646306,118.5237707881634
139,111.70965089435775,118.71514451522842
140,111.97755152280631,119.48063942348844
141,112.0532944591499,118.65134135595909
142,112.35422844454345,119.6082099912841
143,115.04270944423978,122.28741833636552
144,116.37924074047014,123.62703442582054
145,115.35960299243679,123.56324318346554
146,116.65999942506548,125.22181548469558
147,116.58692905652255,125.28560672705059
148,115.56502949728443,124.58392689497421
149,115.44342571270589,123.69084950200418
150,115.8598915618885,123.94599063759554
151,115.27600970824045,124.00978187995055
152,115.21527893806663,124.20117944084419
153,115.09609019620517,124.20117944084419
154,116.34646428181424,125.03042984071624
155,115.54877938736415,124.7753006220392
156,114.48211251581317,123.69084950200417
157,114.98520530537186,124.58392689497418
158,114.75253276201614,124.58392689497418
159,112.74809781593133,122.98911008535619
160,112.35695324941311,122.60637454814051
161,111.28936722826008,122.03228911768845
162,113.14319706115792,123.69084950200418
163,113.55832156462056,124.1373881984892
164,114.16485374217204,125.03042984071625
165,114.88550301594502,125.79594858280491
166,114.11467110248572,124.52011181879057
167,113.39238346360902,124.1373881984892
168,113.20094326404981,124.1373881984892
169,113.16203214090142,124.64770622041489
170,108.08143503020281,117.56689023592403
171,108.10443148443437,118.48896148143464
172,106.95808523302907,117.30345492796594
173,108.6229362125535,119.34521560915583
174,109.71185171668215,119.67452761947492
175,112.40953227248973,121.58458256360008
176,111.15931683251483,120.13556920068737
177,111.1007119044722,119.87213389272928
178,112.48061895314294,120.8600937575152
179,113.5425093479558,122.04563606172687
180,113.53764132386483,122.24323041806693
181,112.98229978748171,122.44083669132131
182,112.51427917213768,121.58458256360011
183,111.1258512610826,119.93799867817599
184,111.87341495031119,121.32112342181337
185,111.62615722488286,120.7942051382399
186,110.9376175953322,120.20143398613408
187,109.32463348873719,118.68660350543196
188,109.45702936316196,119.01589168192243
189,108.37490368001478,117.83036129462509
190,106.65787575320232,116.77652472747816
191,106.01053705136046,115.06406413969304
192,107.27557762439878,116.7106718589458
193,107.69197308782337,117.50103736739167
194,109.55206210455326,118.81827349175373
195,107.56425541444997,116.38133601479805
196,104.8134933623346,113.0881563270355
197,105.53807887634711,113.68092747914135
198,104.61219762695389,112.36365560403632
199,100.40974963757614,108.21424562238123
200,99.712254492785,106.69936747402184
201,95.90882911737246,101.8254329355389
202,95.08803762529955,98.59810611630871
203,93.54889699071671,95.89770353910916
204,89.31131115910632,90.29928019454134
205,94.38928386601646,97.47841668062941
206,92.50509071479262,93.26313595507047
207,95.00977639244242,97.80775252477716
208,96.79610118802744,101.2326737003474
209,97.19584222396058,101.69370336464556
210,97.57582679921735,100.903349773114
211,96.96173913005374,99.91538394987091
212,96.14753515422757,100.3105905379225
213,96.3632029206661,99.98125469377476
214,96.84142044320521,101.49613284213416
215,97.50826628946656,103.406175869345
216,99.3674397349562,104.85516539842907
217,99.4132419849096,104.39413573413093
218,100.8866183089472,104.46001243649192
219,100.69557239183808,103.80136458202509
220,102.85849830410747,106.63350268857518
221,103.23518336724527,106.96281469889428
222,102.09486715623692,106.43590833223513
223,103.47247351513414,109.66323515146532
224,103.4263144796658,109.3339112242319
225,100.56425647274008,106.17244919044839
226,100.68046766829741,106.17244919044839
227,101.1023297879614,106.56763790312847
228,100.49808744738084,106.56763790312847
229,103.31513480778897,108.74114007212606
230,103.66758862169957,108.74114007212606
231,105.77558219200158,110.25600630357113
232,108.4167717659259,112.62712666273738
233,105.41156704751683,109.33391122423187
234,105.4065109791808,109.860817590891
235,105.79536090252891,109.99253524487004
236,106.111801965138,110.45358874299683
237,106.91163760439994,111.11223659746366
238,108.07131052705626,112.03435551063156
239,107.47484764224579,110.71707171861222
240,108.42095957090947,111.04639564584564
241,107.36006422825523,109.72909993691198
242,107.22329724839304,110.45358874299686
243,108.37285192292569,109.53151749748625
244,110.14198043586443,110.51947736227218
245,110.7771010673767,110.38774779137883
246,110.9809165873297,111.30985478763239
247,108.57063350724891,109.26802260495657
248,109.3017820153542,109.99253524487008
249,110.56907067097757,111.2439780852714
250,110.97674521919912,111.1122365974637
251,110.19103331882391,110.45358874299687
252,110.97139743373654,111.2439780852714
253,112.6996231566938,111.83676115429154
254,113.73792816881502,112.36365560403635
255,116.9749356574585,114.33956341669389
256,117.85780150095812,115.39336423309786
257,119.24934367211478,116.3813360147981
258,121.06970619909238,117.89621416315747
259,120.78497373594669,118.02795565096514
260,121.69789528054827,119.1476331697301
261,119.20100449336663,117.30345492796594
262,117.86421165276731,116.24961836081903
263,116.07361970570068,114.60301064156627
264,118.26751394899684,117.10586057162591
265,118.44930941588125,117.23757822560495
266,119.11651532079573,117.1058605716259
267,120.11863053577473,117.0399838692649
268,120.78685978459573,117.30345492796594
269,121.03376888159374,117.83036129462509
270,122.47858535106887,118.55485010070996
271,122.06262970789729,117.36929587958399
272,122.96949083858041,118.42313244673092
273,123.95762771662619,119.21348603826247
274,126.58706591638311,120.53076983028181
275,127.45883437575223,121.9139064908335
276,129.70149509889578,124.02154387438438
277,129.22313096645263,124.48259737251115
278,129.7898414330385,125.33882766640372
279,130.02457809837216,125.7340044621695
280,130.74153162547879,124.6801917288512
281,133.4509741300983,126.52438188752969
282,132.7727167121331,127.31474739597556
283,132.76331106036955,127.84164184572037
284,133.3597204253947,126.59022283914771
285,133.57168575333893,128.0392242851461
286,133.5897105706565,127.84164184572037
287,136.38124022572774,130.9597501452077
288,138.1545029238403,131.29144553839078
289,140.51414042177265,131.15875069743748
290,139.29957583011756,130.6943723802154
291,145.9721438646039,137.0632242355717
292,146.43178421208196,137.46128492460295
293,146.976648729418,136.06809038836516
294,149.7668118119512,138.05835808277828
295,149.9549891960927,137.72665077268087
296,149.52187295808955,135.33831047232218
297,151.85572821103946,137.06322423557168
298,151.89261981282826,138.39007730979
299,155.07976534575533,139.84960139113295
300,152.62718353422633,138.85446754392638
301,153.49903546652862,140.11494340538223
302,152.10514365530756,139.05350384689913
303,150.3597462743998,136.9968827735522
304,150.62230404694037,138.32372393085618
305,150.03760915381483,138.65544315786792
306,152.38072937133407,140.11494340538223
307,151.02825623019535,139.31888161189138
308,148.36129267499135,138.32372393085618
309,141.5379317107898,133.4807376188623
310,143.03474105985472,136.39979769846252
311,144.7222800316465,136.79785838749376
312,145.0039809822592,137.8593217798055
313,145.8584994287316,138.39007730979
314,144.54762479431974,138.72180845371605
315,143.73580352528526,137.32859008364963
316,140.90246148327412,135.07295654115856
317,142.92364348980993,137.12956569759118
318,142.8445367109076,136.6651754634548
319,143.3315759040149,137.0632242355717
320,141.74694417305082,136.06809038836514
321,144.59026046982325,135.869077919221
322,144.42351753656405,136.6651754634548
323,145.36943063483773,135.73638307826772
324,144.99739196523532,136.93052939461842
325,144.62823752204227,136.99688277355222
326,146.8136862001169,138.72180845371608
327,148.7430942241735,139.252504399129
328,150.19586030067472,141.37546693449545
329,149.12084880577947,139.849601391133
330,149.7196434056473,139.71691846709405
331,148.45447333166385,138.5891016958485
332,146.07156474327988,136.79785838749382
333,147.10963544794353,136.59883400143536
334,144.5543702869882,133.2816893989753
335,142.575889198159,133.54707908088187
336,148.37097939709912,135.73638307826778
337,148.22690756332258,136.0680903883652
338,150.1575472480979,136.66517546345486
339,151.2521535055147,136.73150500856002
340,151.41377177301132,138.32372393085626
341,154.0884827326515,139.05350384689922
342,159.10033375711322,140.91107670035908
343,162.1309366073006,142.03890538851894
344,160.42424977049544,142.1052349336241
345,159.90556212275519,141.5744913205539
346,159.26691018726302,140.24763824633558
347,157.9147030461709,139.65057700507455
348,159.5509110077993,141.44179647960058
349,159.87256929628523,140.6457108522811
350,160.82973456454144,140.5793574733473
351,162.38067540495163,140.7784056932344
352,161.59021570492678,140.7784056932344
353,162.67053083265756,140.7784056932344
354,164.06685466708493,139.98229623208627
355,161.91694926258808,139.31888161189144
356,160.9852296520822,137.79298031778606
357,158.09780883075427,136.66517546345483
358,157.77780215285958,137.19593099343933
359,158.68667860846227,138.78812608190694
360,162.4750467040354,140.84474715525388
361,162.27702833250078,140.71206423121492
362,163.61899729350577,141.5744913205539
363,166.6135737091264,143.4320880078424
364,165.16337840718583,142.10523493362408
365,165.82149321722775,144.29453893100998
366,166.64539562495548,144.36089230994378
367,166.18814672118535,144.9579535512048
368,169.10138848404696,149.6682569391597
369,169.77936829067448,150.7297560822144
370,171.8409120250616,151.72486609559235
371,172.5528275456649,151.45951216442873
372,174.34093034414695,151.26046394454164
373,178.7915655167857,153.1843901769353
374,179.36892765776687,152.45466984546394
375,177.9372178906656,151.19413439943648
376,181.21345573745882,152.3883045496158
377,181.51163862679226,152.1229506184522
378,182.71705832731303,150.3316953931832
379,184.05215762213217,151.6585484674015
380,185.72608348459977,153.11807254874444
381,184.5897809791309,153.11807254874444
382,186.2761697546285,155.6391076900564
383,187.70159482301065,157.09861985448504
384,190.00662477236406,159.2879119349566
385,189.64392585042245,159.2879119349566
386,187.23247872196794,157.36398570256296
387,188.30179833092365,157.56299817170708
388,186.89434377317878,156.89959546842655
