rebalance_date,rank,symbol,name,score,residual_z,momentum,volatility
2019-05-17,1,2317.TW,鴻海,1.7187745779257018,-1.840995592306011,-0.2266216861067537,0.2860228282863045
2019-05-17,2,2308.TW,台達電,1.6924797189721075,-1.594303678490655,0.4101866258815392,0.30259519051390793
2019-05-17,3,2882.TW,國泰金,1.3633599612877327,-1.4600865245221768,-0.20675698693207456,0.16241078538812057
2019-05-17,4,2382.TW,廣達,1.3169070700482348,-1.2895255388168076,0.15591290416082626,0.18125323483241268
2019-05-17,5,2881.TW,富邦金,1.0228471338818923,-1.0889611978884524,-0.12379566902482375,0.15190386565247832
2019-08-16,1,2886.TW,兆豐金,2.8116915397937046,-2.7821697100900433,0.14171245678408817,0.1338502011384636
2019-08-16,2,2382.TW,廣達,0.7649043350634815,-0.742117833039851,0.14039761877921286,0.17568443032729325
2019-08-16,3,2412.TW,中華電,0.6217623644088969,-0.6218123651138783,0.051530533691340974,0.12057124997967181
2019-08-16,4,2308.TW,台達電,0.4279425466896156,-0.32194863296879,0.42950947901791503,0.29556269290296405
2019-08-16,5,2881.TW,富邦金,0.24720393575906743,-0.31386566376513636,-0.12748544611984303,0.14694547909415923
2019-11-20,1,3711.TW,日月光投控,1.3469444221443323,-1.282688798644183,0.30946913968924616,0.2937238359405788
2019-11-20,2,2412.TW,中華電,1.0567885257840406,-1.0387444952500877,0.10006774916221794,0.1131978778188224
2019-11-20,3,2330.TW,台積電,0.7974479537767717,-0.6936657451158408,0.3925038022034051,0.2239608140684056
2019-11-20,4,2303.TW,聯電,0.5357132756454621,-0.48431466528401623,0.2677641258377581,0.28212555787846283
2019-11-20,5,2881.TW,富邦金,0.3921409425686326,-0.4184962907127143,-0.014166406276298282,0.14264737298251576
2020-02-27,1,2454.TW,聯發科,1.23626642755677,-1.1100467007049875,0.4867718958024503,0.2943362445271672
2020-02-27,2,2317.TW,鴻海,0.8277861994444965,-0.7894505415735065,0.22026656065808425,0.2583842557289293
2020-02-27,3,2881.TW,富邦金,0.39175767072464934,-0.392956295815788,0.05837409578894648,0.14419705744846634
2020-02-27,4,2412.TW,中華電,0.38580254440313355,-0.3783686253024826,0.056328107605759126,0.08187279040909846
2020-02-27,5,2882.TW,國泰金,-0.01605815587655772,-0.017207452906298118,-0.02843180443915272,0.15542984819434924
2020-06-01,1,2330.TW,台積電,1.7129074330851966,-1.666202087424031,0.2517623021502089,0.27607640060938454
2020-06-01,2,3711.TW,日月光投控,1.2136564838918367,-1.290528068731764,-0.06386099989110716,0.3634682325202651
2020-06-01,3,2303.TW,聯電,0.3073800568521339,-0.2611257522616272,0.24223028706918814,0.256841972558061
2020-06-01,4,2317.TW,鴻海,0.011275694874094903,-0.03416170536593073,0.050360738668551175,0.2700817935055249
2020-06-01,5,2308.TW,台達電,-0.13733456923553566,0.09080044250906542,-0.01085218923981357,0.28490573661690327
2020-08-31,1,3711.TW,日月光投控,2.9047350784356682,-2.9799539705022275,-0.06122573218012539,0.35859923869010457
