portfolio,weights,invested,ending_value,gain,return_on_invested,cagr,volatility,sharpe,max_drawdown
VeryAggressive,"sp500 30%, 0050 20%, allianz 50%",1000000.0,10843596.42278357,9843596.42278357,9.84359642278357,0.37181856306858774,0.14694170384203958,2.2264801919455977,-0.19829345682665267
HighConviction,"sp500 35%, 0050 25%, allianz 40%",1000000.0,9461618.279856814,8461618.279856814,8.461618279856815,0.3472364832344572,0.13890323900800716,2.2167143180596804,-0.2133225757992132
TaiwanTilt,"sp500 30%, 0050 40%, allianz 30%",1000000.0,8672154.003810829,7672154.003810829,7.672154003810829,0.33175784212305026,0.1394697605346158,2.1253062203105886,-0.2257886628363066
Aggressive,"sp500 40%, 0050 30%, allianz 30%",1000000.0,8204837.203314037,7204837.203314037,7.204837203314037,0.32200940004317835,0.1364973080262468,2.114728917857396,-0.228813519880266
BalancedGrowth,"sp500 50%, 0050 30%, allianz 20%",1000000.0,6874037.552310569,5874037.552310569,5.874037552310569,0.29134039397005984,0.13906727681349676,1.909293428168816,-0.24579440139590802
